Feature ID,Area,User story,Expected behavior,Status,Verification evidence,Open issue
AUTH-01,Landing,"As a visitor, I can understand Liftosaurus and begin sign-in.","The landing page exposes the marketing headline and a Sign in menu with GitHub.",Verified,"Playwright tests/home.spec.ts: 3/3 passed after current-label contract update.",""
AUTH-02,Authentication,"As an eligible user, I can sign in with GitHub or the enabled agent test account.","Provider selection starts authentication and returns to the current route after sign-in.",Needs verification,"Implemented in LoginProviderMenu.svelte; no dedicated successful-provider browser run.","Requires provider callback test environment."
DASH-01,Dashboard,"As a signed-in user, I can view today's workout and start a planned or unplanned workout.","Dashboard displays workout state and offers the appropriate start action.",Verified,"Dashboard auth and metrics unit coverage passed (130/130 unit suite).",""
DASH-02,Dashboard,"As a user, I can inspect bodyweight and performance metrics.","Metrics use my data only, calculate configured trends, and render chart states safely.",Verified,"Dashboard unit coverage passed; first browser suite included dashboard coverage with no failure artifact.",""
WORKOUT-01,Start workout,"As a user, I can start a workout with bodyweight and the appropriate mesocycle day.","Start flow validates bodyweight, handles rest/skipped days, and preserves an active draft safely.",Verified,"Full Playwright suite passed 73/73, including mobile start and mesocycle workout starts.",""
WORKOUT-02,Exercise logging,"As a user, I can log weights, reps, and RIR for each set.","Set completion persists values, supports all set types, and keeps a shared exercise-level RIR control.",Verified,"Full Playwright suite passed 73/73; all-set-types logging and exercise-level RIR fixtures passed.",""
WORKOUT-03,Exercise logging,"As a user, I can add, remove, edit, reorder, and compare exercises during a workout.","Exercise actions update the active draft without losing completed-set data.",Verified,"Full Playwright suite passed 73/73, including exercise editing, deletion, comparison, and deload flows.",""
WORKOUT-04,Finish workout,"As a user, I can finish a workout only after all required sets are complete.","The exercise area scrolls independently; a single Finish workout action appears when all sets are complete.",Verified,"Full Playwright suite passed 73/73 with the single Finish workout transition.",""
WORKOUT-05,Workout overview,"As a user, I can review and save a completed workout.","Overview validates bodyweight and persists a new or edited workout atomically.",Verified,"Full Playwright suite passed 73/73; create and edit overview saves passed.",""
WORKOUT-06,Workout history,"As a user, I can browse, filter, inspect, edit, and delete completed workouts.","History is scoped to my account and edits never overwrite another user's workout.",Verified,"Full Playwright suite passed 73/73, including workout model and edit-security cases.",""
WORKOUT-07,Draft resilience,"As a user, I can resume a draft across reloads and tabs without exposing it to another account.","Active and edit drafts are isolated, versioned, and fail closed when storage locks are unavailable.",Verified,"Full Playwright suite passed 73/73; all 10 cross-tab draft cases passed.",""
SPLIT-01,Exercise splits,"As a user, I can create an exercise split from scratch.","Structure validation requires unique workout names and each day has exercises before save.",Verified,"Full Playwright suite passed 73/73; exercise split creation passed.",""
SPLIT-02,Templates,"As a user, I can create a split from a provided template.","Template creates editable days and exercises, then returns to the split library.",Verified,"Full Playwright suite passed 73/73; template and clone cases passed.",""
